,date,revenue,rev_per_transaction
744,2015-02-13,843389.1,1299.5209553158704
745,2015-02-16,935184.9,1395.7983582089553
746,2015-02-19,993659.67,1314.3646428571428
747,2015-02-22,893732.0,1366.5626911314985
748,2015-02-25,934079.85,1361.6324344023324
749,2015-02-28,857096.24,1011.92
750,2015-03-03,1065967.0,1924.1281588447653
751,2015-03-06,1079500.04,1743.9419063004848
752,2015-03-09,952708.72,1439.1370392749245
753,2015-03-12,992985.21,1363.990673076923
754,2015-03-15,1045239.02,1429.8755403556772
755,2015-03-18,941109.0,1346.3648068669527
756,2015-03-21,925351.87,1402.048287878788
757,2015-03-24,1038159.87,1793.0222279792747
758,2015-03-27,1072838.45,1204.0835578002245
759,2015-03-30,873821.52,1430.1497872340426
760,2015-04-02,931756.04,1325.399772403983
761,2015-04-05,973886.67,1212.810298879203
762,2015-04-08,735211.1,985.5376675603217
763,2015-04-11,814721.3999999998,1080.5323607427054
764,2015-04-14,856656.0,1351.192429022082
765,2015-04-17,749061.88,943.4028715365239
766,2015-04-20,935583.95,1430.5564984709479
767,2015-04-23,815702.72,1139.2496089385475
768,2015-04-26,816453.96,1141.8936503496502
769,2015-04-29,731686.98,1026.2089481065918
770,2015-05-02,863705.57,1226.854502840909
771,2015-05-05,907195.56,1299.707106017192
772,2015-05-08,909134.8,1356.9176119402987
773,2015-05-11,913514.79,1258.2848347107438
774,2015-05-14,837456.48,1069.5485057471265
775,2015-05-17,1022577.86,1444.319011299435
776,2015-05-20,836349.0,1142.5532786885246
777,2015-05-23,719414.01,865.7208303249098
778,2015-05-26,800308.48,1225.587258805513
779,2015-05-29,929799.54,1053.000611551529
780,2015-06-01,771728.0,1219.1595576619272
781,2015-06-04,804501.1799999998,1128.3326507713882
782,2015-06-07,932248.8,1014.4165397170839
783,2015-06-10,905199.7,1110.6744785276073
784,2015-06-13,913282.74,1153.1347727272728
785,2015-06-16,759112.9,1016.2153949129853
786,2015-06-19,999108.3,1318.0848284960423
787,2015-06-22,917161.05,1079.0130000000001
788,2015-06-25,971550.72,933.2859942363112
789,2015-06-28,917924.4,1072.3415887850467
790,2015-07-01,940636.8,1054.5255605381167
791,2015-07-04,1004340.48,740.6640707964601
792,2015-07-07,1000621.44,674.7278759271746
793,2015-07-10,1130127.24,1423.334055415617
794,2015-07-13,1060744.1,1408.6907038512618
795,2015-07-16,945029.52,1072.6782292849036
796,2015-07-19,991991.37,1519.1292036753446
797,2015-07-22,1028008.16,1431.7662395543175
798,2015-07-25,1104263.52,1132.5779692307692
799,2015-07-28,1056073.48,1676.307111111111
800,2015-07-31,999862.58,967.9211810261374
801,2015-08-03,1051958.61,1581.8926466165415
802,2015-08-06,979548.5,1417.581041968162
803,2015-08-09,900570.06,1118.7205714285715
804,2015-08-12,830459.0,1105.8042609853528
805,2015-08-15,894962.5200000001,1188.5292430278887
806,2015-08-18,926771.5,1354.9290935672514
807,2015-08-21,904694.07,1118.2868603213844
808,2015-08-24,842084.76,1222.183976777939
809,2015-08-27,855555.9600000002,922.9298381877024
810,2015-08-30,819141.99,1306.4465550239233
811,2015-09-02,898267.92,1026.5919085714286
812,2015-09-05,893388.69,1230.5629338842975
813,2015-09-08,851509.24,855.7881809045226
814,2015-09-11,1044415.29,921.0011375661376
815,2015-09-14,924674.4,1035.4696528555432
816,2015-09-17,830934.0,971.8526315789474
817,2015-09-20,695204.0,861.4671623296159
818,2015-09-23,868521.1499999998,922.9767800212537
819,2015-09-26,894132.0,1013.7551020408164
820,2015-09-29,1033908.0,1550.0869565217392
821,2015-10-02,748769.22,724.8491965150048
822,2015-10-05,890376.84,1031.7228736964078
823,2015-10-08,841733.41,843.420250501002
824,2015-10-11,935013.52,1007.5576724137932
825,2015-10-14,974099.6,1185.03600973236
826,2015-10-17,888738.21,931.5914150943396
827,2015-10-20,864439.2000000002,1045.2711003627571
828,2015-10-23,1075873.54,945.4073286467487
829,2015-10-26,1089933.75,1067.515915768854
830,2015-10-29,1158573.88,1028.9288454706925
831,2015-11-01,1246623.0,1034.541908713693
832,2015-11-04,1713673.05,1649.3484600577478
833,2015-11-07,1589032.76,1504.7658712121213
834,2015-11-10,1273595.16,1335.0054088050313
835,2015-11-13,1395572.2,1159.113122923588
836,2015-11-16,1457241.0,1633.6782511210763
837,2015-11-19,1159725.0,1175.0
838,2015-11-22,1409226.76,1340.8437297811608
839,2015-11-25,1259375.0,1097.972972972973
840,2015-11-28,1301570.64,1101.1595939086294
841,2015-12-01,1736234.24,1661.4681722488037
842,2015-12-04,1326955.76,1055.6529514717581
843,2015-12-07,1505973.0599999996,1189.5521800947863
844,2015-12-10,2051183.4,1739.7653944020356
845,2015-12-13,1648972.82,1231.4957580283794
846,2015-12-16,1926328.77,1335.8729334257976
847,2015-12-19,1803135.6,1183.159842519685
848,2015-12-22,1553396.74,1936.9036658354114
849,2015-12-25,1537832.4,1463.2087535680303
850,2015-12-28,1719238.9,1648.3594439117928
851,2015-12-31,1557216.18,1357.6427027027025
852,2016-01-03,1604631.24,1478.922801843318
853,2016-01-06,1477472.5,1397.7980132450332
854,2016-01-09,1802400.6,1297.6246220302376
855,2016-01-12,1980490.44,1428.9252813852813
856,2016-01-15,1217938.2,907.5545454545454
857,2016-01-18,1700240.64,1515.3659893048127
858,2016-01-21,1384752.0,961.6333333333333
859,2016-01-24,1694688.25,1294.6434300993124
860,2016-01-27,1537171.65,1219.9775
861,2016-01-30,1689976.32,1556.1476243093923
862,2016-02-02,1552556.36,1332.6664034334765
863,2016-02-05,1755051.09,1268.1004985549134
864,2016-02-08,1527627.0,1227.009638554217
865,2016-02-11,1824977.0,1243.1723433242507
866,2016-02-14,1824390.92,1177.0264
867,2016-02-17,1481533.76,856.3778959537573
868,2016-02-20,1754843.64,1163.6894164456232
869,2016-02-23,1427391.0,946.5457559681697
870,2016-02-26,1609521.62,914.5009204545455
871,2016-02-29,1495225.04,998.8143219772879
872,2016-03-03,1431631.68,989.3791845196959
873,2016-03-06,1437551.76,1209.0426913372582
874,2016-03-09,1725518.7000000004,1390.4260273972607
875,2016-03-12,1501010.0,979.1324200913242
876,2016-03-15,1593584.76,1367.8839141630901
877,2016-03-18,1427774.04,1147.7283279742765
878,2016-03-21,1308642.12,1185.364239130435
879,2016-03-24,1588000.11,1407.801515957447
880,2016-03-27,1646594.4,1107.326429051782
881,2016-03-30,1660945.8,1355.8741224489797
882,2016-04-02,1591174.42,1056.5567197875166
883,2016-04-05,1591759.98,1524.6743103448275
884,2016-04-08,1506409.6,1062.3480959097321
885,2016-04-11,1607456.49,1193.3604231625834
886,2016-04-14,1767502.96,1164.3629512516468
887,2016-04-17,1642389.18,1084.8013077939233
888,2016-04-20,1843768.2548202013,1403.3663716456003
889,2016-04-23,1639604.701346071,1274.7444982821905
890,2016-04-26,1924687.3534362838,1159.0617935778278
891,2016-04-29,1824603.318988384,1100.82068549497
892,2016-05-02,1762341.416986977,1236.3992334917684
893,2016-05-05,1769132.6278985832,1194.4226732480197
